"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Saquon Barkley","RB","PHI","31.2","13.6","29.6","11.6","BYE","5.4","24.7","11.1","29.9","7.8","31.8","42.2","17.7","14.4","7.4","27","16.9","-","20.1","322.3"
"2","Derrick Henry","RB","BAL","10.6","15.6","29.4","32.9","15.6","25.2","24.2","13.7","25.3","13.1","10.5","14","11.1","BYE","6.7","18.9","22.5","28.1","18.7","317.4"
"3","Jahmyr Gibbs","RB","DET","13.4","10.6","16.3","19.8","BYE","9.1","28","19.3","13.6","10.8","18.3","21.9","8.4","13.3","23.4","21.4","22.3","41","18.3","310.9"
"4","Bijan Robinson","RB","ATL","11.1","12.2","11.2","7.4","7.7","22.5","20.3","16.6","14.5","26.4","6.3","BYE","19.5","18.1","13.5","22.3","21.8","29.3","16.5","280.7"
"5","Josh Jacobs","RB","GB","10.4","13.1","4.8","7.8","15.4","9","15.2","24.5","10.8","BYE","19.4","28.6","17.7","24.6","17.6","16.7","10.9","10.6","15.1","257.1"
"6","Kyren Williams","RB","LAR","11.4","11.2","29.6","16.4","14.5","BYE","19.6","17.6","9.5","6.2","8.6","11.2","17.3","21.7","11.2","18.9","13.2","-","14.9","238.1"
"7","James Cook","RB","BUF","10.3","27.5","14.7","4.8","15.9","-","9.2","25.3","6.9","14.5","14.7","BYE","18","2.9","25.3","24.6","11.3","8.8","14.7","234.7"
"8","Jonathan Taylor","RB","IND","10.8","13.5","25.5","16.8","-","-","-","17.7","5.9","12.2","6","3.5","16.3","BYE","9.1","39.8","25.6","24","16.2","226.7"
"9","De'Von Achane","RB","MIA","16","22.5","5.8","2.9","1.7","BYE","8.5","20.7","24.1","5.2","16.5","17.6","13","12.9","7.6","25","3.8","18.1","13.1","221.9"
"10","James Conner","RB","ARI","16.3","18.4","2.5","17.3","12","2.6","15.2","12.9","11.9","17.3","BYE","4.9","8.1","18.2","25.8","22.6","0.8","-","12.9","206.8"
"11","Joe Mixon","RB","HOU","23.8","5","-","-","-","25.2","24.4","19.4","16.6","15","33.3","4.5","17.9","BYE","5.6","7.1","3.9","2.8","14.6","204.5"
"12","Chase Brown","RB","CIN","2.3","3.1","6.9","21.2","13.4","12.4","5.3","9.4","21.7","13.4","14.3","BYE","16","18.3","23.3","10.9","9.1","-","12.6","201"
"13","Chuba Hubbard","RB","CAR","1.4","7.6","22.9","18.1","13.5","10.3","11.2","7.1","19.2","20.9","BYE","14","2.3","16.7","4.9","28.5","-","-","13.2","198.6"
"14","Bucky Irving","RB","TB","7.6","2.2","8.4","11.5","3.6","16.5","13.7","8.4","3.4","14.7","BYE","21.2","24.5","1.8","11.3","15.2","19","14.4","11.6","197.4"
"15","Alvin Kamara","RB","NO","17","42","12.7","17.9","6.6","12.4","2.4","12.2","21.5","10.9","8.9","BYE","11.9","7.9","13","-","-","-","14.1","197.3"
"16","Aaron Jones Sr.","RB","MIN","16.9","4.8","20.8","13.9","5.3","BYE","17.6","9.5","8.2","10.1","4.3","16.9","6.8","14.4","16.6","9.3","7.7","7.5","11.2","190.6"
"17","David Montgomery","RB","DET","15.3","13","18.2","14","BYE","20","5","13.9","9.6","11.6","21.5","13.3","12.4","14.4","3.5","-","-","-","13.3","185.7"
"18","Breece Hall","RB","NYJ","13.3","17.4","14.3","1.8","3.7","16.9","20.1","8.9","8.5","8.3","24.1","BYE","6","-","11.1","9","5.3","15.2","11.5","183.9"
"19","D'Andre Swift","RB","CHI","5","4.2","4.2","22.5","18","17.9","BYE","18.9","8.2","6.5","14.4","6.5","7.4","4","8.9","5.3","8.1","12.5","10.1","172.5"
"20","Najee Harris","RB","LAC","7.9","7.4","8.6","7.3","7.7","18.2","16.2","13.1","-","11.3","9.3","5.4","18.9","11.3","2.1","4.2","8.1","11.6","9.9","168.6"
"21","J.K. Dobbins","RB","DEN","19.9","19.1","5.4","6.2","-","16.2","6.6","12.8","22.5","5.5","17.9","5.9","-","BYE","-","-","14.3","7.5","12.3","159.8"
"22","Tony Pollard","RB","TEN","15.4","10.2","2.9","16.8","BYE","14.8","6.5","11.7","15.4","6.3","2.9","18.9","4.8","12.4","8.5","6","-","6.2","10","159.7"
"23","Rico Dowdle","RB","CAR","3.2","5.9","5.6","12.1","17.4","5.5","-","-","16.7","5.6","3.4","7.8","18.3","14.1","14.9","5.1","8.8","14.4","9.9","158.8"
"24","Rachaad White","RB","TB","10.6","2.3","3.5","8.4","6.6","-","23.1","10.7","9.5","13","BYE","10.7","7.8","22.9","12.1","4","3.4","0","9.3","148.6"
"25","Zach Charbonnet","RB","SEA","10.1","12.9","22.7","5.4","3","3.5","0.9","8.4","3.3","BYE","0.5","2.2","10.1","31.3","12.6","1.3","7.6","9.1","8.5","144.9"
"26","Tyrone Tracy Jr.","RB","NYG","0.7","0.2","4","2.1","13","16.7","3.2","21","6.9","14.4","BYE","5","12.5","14.3","3.5","12.9","7.3","6.6","8.5","144.3"
"27","Rhamondre Stevenson","RB","NE","18.6","15","0.3","4.2","15.2","-","2.5","20.5","17.4","7.7","8.9","3.3","9.4","BYE","8.5","11.3","0.1","-","9.5","142.9"
"28","Brian Robinson Jr.","RB","WAS","14.9","13.6","9.7","17.3","13.8","-","13.1","7.6","-","-","13.2","2.4","16.9","BYE","8.7","0.1","6.9","1.6","10","139.8"
"29","Kenneth Walker III","RB","SEA","16.9","-","-","29.6","7.6","12.9","21.3","4.5","10.7","BYE","11.9","9.3","4.6","-","-","5.9","-","-","12.3","135.2"
"30","Kareem Hunt","RB","KC","-","-","-","8.5","17.7","BYE","20.3","12.3","17.7","10","6","8.7","1.5","2.9","4.9","13.9","8","-","10.2","132.4"
"31","Tank Bigsby","RB","JAC","7.3","0","0.9","9","24.9","2.4","23.8","8.6","2.2","0.4","-","BYE","3.5","12.2","4.2","9.1","3.3","10.2","7.6","122"
"32","Javonte Williams","RB","DAL","2.3","6.5","2.1","8","11.1","1.6","23.1","5.2","8.4","0.7","14.7","0.4","6.4","-","2.3","5.3","0","7.8","6.2","105.9"
"33","Jordan Mason","RB","MIN","21.2","16.4","8.8","22","7.8","8.2","6.9","1.8","-","0.5","1.3","1.3","7.8","-","-","-","-","-","8.7","104"
"34","Alexander Mattison","RB","MIA","12.2","6.1","10.4","6","8.1","12.5","12.3","4.4","3.6","-","6.9","-","-","-","0.4","11.6","3.8","3.1","7.2","101.4"
"35","Ray Davis","RB","BUF","2.7","2.8","8.3","1.1","0.4","15.2","10.7","2.9","15","0.6","1.1","BYE","12.7","0","8.9","2.9","1.3","12.5","5.8","99.1"
"36","Austin Ekeler","RB","WAS","6.2","8.5","11.7","-","9.7","6.8","2","5.8","14.3","17.1","9.6","2.4","-","BYE","-","-","-","3.2","8.1","97.3"
"37","Jerome Ford","RB","CLE","12.9","6.4","7","8.5","4.9","1.4","-","-","0.7","BYE","3.9","2.7","6.2","4.7","16.4","19.1","2.2","-","6.9","97"
"38","Tyler Allgeier","RB","ATL","2.1","6.5","3.2","8","2.5","18.8","4.5","3.3","7.8","5.9","-0.1","BYE","2.2","12.3","4.3","3.1","1.9","6.9","5.5","93.2"
"39","Travis Etienne Jr.","RB","JAC","9.9","11.8","8.5","6","6","-0.1","-","-","3","4.3","3.3","BYE","5.8","7","8.5","3.7","7.5","6","6.1","91.2"
"40","Jaylen Warren","RB","PIT","2","6.1","0.1","-","-","1.8","5.9","5.9","BYE","7.5","6.8","12.4","6.4","7.2","1.5","9.2","11.2","2.1","5.7","86.1"
"41","Ameer Abdullah","RB","FA","0","0.2","1.3","0","11.1","1.8","0","1.1","2.6","-","7.7","12.5","5.3","-0.2","12.6","14.5","14.7","-","5.3","85.2"
"42","Justice Hill","RB","BAL","5.5","3.2","5.4","15.6","2.5","0.4","10.8","1.9","5.8","-0.2","4.1","12.2","2.1","BYE","12.8","3","-","-","5.7","85.1"
"43","Emanuel Wilson","RB","GB","4.8","0.9","14.5","2.7","1.5","7.3","1.1","0.3","8.9","BYE","1.7","4.1","2","0.7","0.9","11.6","8.9","13.1","5","85"
"44","Tyjae Spears","RB","TEN","3.2","3.1","6.1","9.9","BYE","2.7","-","-","-","5.1","0.8","-","0.3","2.3","21.2","18.6","10.3","-","7","83.6"
"45","Antonio Gibson","RB","NE","1.8","10.3","3.7","7.9","5.6","4.3","1.3","0.7","1.1","2.6","2","4.5","12.2","BYE","6.4","3.6","6.3","6.1","4.7","80.4"
"46","Isaac Guerendo","RB","SF","0","0","1.9","-2","2.2","9.9","0.7","16.2","BYE","0","0","0","7.6","24.8","7.5","-","9.9","0.5","5","79.2"
"46","Cam Akers","RB","NO","-","1.5","8.9","5.3","10.7","-0.1","0","-","5.3","4.7","9.6","2.5","2.2","3.7","8.4","0.3","9.3","6.9","5","79.2"
"48","Devin Singletary","RB","NYG","5.2","13.5","14.8","3.8","-","0","2.1","2.3","3.3","4.5","BYE","7","2.3","0.8","10.1","1.2","3","1.7","4.7","75.6"
"49","Ty Johnson","RB","BUF","0.7","3.2","10.6","6.3","1.5","3.4","6.4","0","2.3","3.2","1.8","BYE","3.7","11.5","12.3","3","2.5","1.3","4.3","73.7"
"50","Jaleel McLaughlin","RB","DEN","0.8","0.6","7.4","4.6","8.5","2.5","3.5","11.6","2","1.2","1.9","4.4","8.4","BYE","3.4","-","7.6","4.8","4.6","73.2"
"51","Braelon Allen","RB","NYJ","1.7","17.6","6.8","4.6","2.8","0.8","0.6","9.2","0.9","3.4","0.6","BYE","2.7","8.1","0.5","1","2.6","2.3","3.9","66.2"
"52","Roschon Johnson","RB","CHI","-","-","6.2","8.6","14.5","3.3","BYE","6.6","2.1","0.1","10.1","7.2","0","-","-","0.3","0.5","1.9","4.7","61.4"
"53","Gus Edwards","RB","FA","2.8","5.9","0.9","1.9","-","-","-","-","-","5.5","2.7","7.1","3.3","9.6","2.3","19.1","-","-","5.6","61.1"
"54","Sean Tucker","RB","TB","0","0","0.4","1.7","0","31.2","3.8","1.5","1.7","0","BYE","7","0","4.7","1.7","0","4.4","1.6","3.5","59.7"
"55","Zack Moss","RB","CIN","12.1","4.7","15.7","13.8","5.2","-0.5","4","3.9","-","-","0","BYE","-","-","-","-","-","-","6.5","58.9"
"56","Nick Chubb","RB","HOU","-","-","-","-","-","-","9.2","5.2","3.5","-","5","18","10.5","4.8","2.1","-","-","-","7.3","58.3"
"57","Jeremy McNichols","RB","WAS","0","0","0.1","19.4","10.4","0.9","4.2","-0.1","2","6.7","0.6","2.2","3.2","BYE","0.4","3.8","1","0","3.2","54.8"
"58","Samaje Perine","RB","CIN","1","0.3","4","7.4","2.4","-","2.8","3","9.5","3.7","0.8","2.4","1.5","1.9","3.4","5","2.9","1.4","3.1","53.4"
"59","Miles Sanders","RB","DAL","2.2","2.5","9","4.6","3.3","1.3","2.8","4.5","-1","0.5","-","-","-","-","-","-","-","23.6","4.8","53.3"
"60","Raheem Mostert","RB","LV","1.9","-","-","-","9.8","-","3","15","6.8","3.4","-0.2","0.2","3.4","-","2.1","4.6","1.9","0","4","51.9"
"61","Kenneth Gainwell","RB","PIT","1.2","0.6","1.2","0.9","-","2.3","6.7","1.9","1","3.9","4.9","8.2","0","3.3","6","1.3","0.9","2.3","2.7","46.6"
"62","Ezekiel Elliott","RB","FA","10.9","3.2","1.2","2.4","1.7","1.7","-","9.8","-","0.2","2.4","0.6","0.4","0.6","4.1","6.1","0.2","-","3","45.5"
"63","Isiah Pacheco","RB","KC","13.8","11.1","-","-","-","BYE","-","-","-","-","-","-","4.9","6.1","4.7","2.5","1.8","-","6.4","44.9"
"64","Audric Estime","RB","DEN","1.4","-","-","-","-","1.3","0.9","0.4","3.5","5.3","2.5","1.5","1.2","BYE","1.8","10.8","3.7","9.4","3.4","43.7"
"65","Dameon Pierce","RB","HOU","1.6","-","-","-","-","13.7","0.2","0.4","-","-","0.2","0","0.1","BYE","0","0.4","1.3","23.6","3.8","41.5"
"66","Trey Benson","RB","ARI","1.8","1.7","0.8","5","-","2.6","0","1","11.5","8.7","BYE","1.8","2","1.9","2.2","-","-","-","3.2","41"
"67","Emari Demercado","RB","ARI","2.6","4.6","0.7","2.4","0","6.4","1.4","0","14","2.2","BYE","1.4","1.5","1.5","-","-","-","-","3","38.7"
"68","Kyle Juszczyk","RB","SF","4","1.9","0.6","1.2","0","7.6","1.4","0.7","BYE","0","1.2","1.4","-2.1","0.3","0","2.6","6.9","10.9","2.3","38.6"
"69","Trey Sermon","RB","PIT","0","0.7","7.6","0.8","12.3","2.9","4.9","1.4","1.3","0.4","0.3","0","0","-","1.2","2.5","1","0.5","2.2","37.8"
"70","Dare Ogunbowale","RB","HOU","0.3","2.3","2.8","11.4","8.7","0.8","0.6","0.4","-0.1","1.1","1.1","0","0","BYE","3.5","0","1.8","2.3","2.2","37"
"71","Isaiah Davis","RB","NYJ","-","-","0.6","-","0","0","1.2","0","0","1","0","BYE","9.2","12.7","2.6","1.2","4.3","4.1","2.6","36.9"
"72","Tyler Goodson","RB","IND","-","0.2","0","0","5.7","6.5","11.1","0","0","6.9","0","0","0","BYE","0.3","2.2","0","0.5","2.1","33.4"
"73","Christian McCaffrey","RB","SF","-","-","-","-","-","-","-","-","BYE","10.7","10.6","4.8","6.7","-","-","-","-","-","8.2","32.8"
"74","Chris Brooks","RB","GB","-","-","0.3","-","-","2.1","0","1.7","4.1","BYE","1.3","2.6","2.9","0.3","1.5","8.5","0","5.9","2.4","31.2"
"75","Chris Rodriguez Jr.","RB","WAS","0","-","-","-","-","-","-","-","5.2","0.4","-","-","15.4","BYE","0.2","0.5","8.8","0","3.8","30.5"
"76","Hassan Haskins","RB","LAC","-","1.1","-","0","BYE","0.5","0.2","0","0","6.4","0.1","0.3","-2","0","0","9.9","4","9.3","2","29.8"
"77","Jamaal Williams","RB","FA","11.1","3.9","-0.1","1.9","0.9","0.7","1.7","0.4","-","-","-","-","0.7","1.5","0","0.8","2.4","2.2","2","28.1"
"78","Kimani Vidal","RB","LAC","-","-","-","-","BYE","11.1","1.9","1.6","0.7","-","-","-","2","3.4","2.2","2.4","2.4","0","2.8","27.7"
"79","Patrick Taylor Jr.","RB","SF","-","-","-","0","0","2.8","-","0.9","BYE","-","-","-","-","8.5","0","2.5","0","12.1","3","26.8"
"80","D'Onta Foreman","RB","FA","0","5.1","0.5","0.7","6","4.7","0.5","2.6","-","-","-","-","-","-","-","-1.9","4.9","3.5","2.4","26.6"
"81","Blake Corum","RB","LAR","0","2.8","-","-","3.3","BYE","1.1","1.8","-0.1","1.5","2.8","0.5","4.2","3.4","2","1.4","-0.4","2.2","1.8","26.5"
"82","Cordarrelle Patterson","RB","FA","1.3","0.3","4.8","6.2","-","-","-","-","-","1.4","0","-0.2","5.3","-1.9","0.8","7.2","0.2","0.1","2","25.5"
"83","Michael Carter","RB","ARI","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","-","4.8","8.1","11.9","6.2","24.8"
"84","Kendre Miller","RB","NO","0","-","-","-","-","-","3.7","1.6","-","-","-","BYE","-","9.2","4.6","3.1","1.9","-","3.4","24.1"
"85","D'Ernest Johnson","RB","FA","-","2.6","1.2","0","1","4.4","7","2.3","0.6","0","0.3","-","-","-","-","0.8","1.1","2.6","1.8","23.9"
"86","Jaylen Wright","RB","MIA","-","0.4","1.7","3.2","8.6","BYE","3.3","1.8","1.8","0.3","0.6","0.8","0","1.3","0.3","-","0","-0.4","1.6","23.7"
"87","Zamir White","RB","LV","2.6","3.8","3.4","3","-","-","2.7","-0.1","7","BYE","0.9","-","-","-","-","-","-","-","2.9","23.3"
"88","Ty Chandler","RB","MIN","4.2","8.2","1.3","1.3","3.9","BYE","0.4","0","-","1.8","0","0","0.2","0","0.4","0","0.7","-","1.5","22.4"
"89","Khalil Herbert","RB","IND","0.4","6.7","0.9","-","0","0","-","-","-","0","0","-","1.4","1.1","0.4","0","2.3","8.3","1.7","21.5"
"90","Pierre Strong Jr.","RB","CLE","3","0.5","-","-","0.2","7.8","1.5","0.3","0.8","BYE","0.5","-","0","0.9","0","0.9","4.8","-","1.6","21.2"
"91","Sincere McCormick","RB","LV","-","-","-","-","-","-","-","-","-","BYE","-","3.3","6.5","8.9","2.5","-","-","-","5.3","21.2"
"92","Kenny McIntosh","RB","SEA","-","0","1.1","0","-","-","0.5","-","-","BYE","0","0","0","4.5","0.9","2.9","4.6","4.9","1.6","19.4"
