"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Ja'Marr Chase","WR","CIN","6.2","3.5","23.8","14.5","31.3","7.2","12.6","11.4","4.3","44.4","19.5","BYE","14.6","31.1","9.4","16.4","10.2","15.6","16.2","276"
"2","Justin Jefferson","WR","MIN","11.9","19.3","14.1","14.5","9.2","BYE","14.4","11.5","14.6","4.8","8.1","2.7","9.9","25.2","13.3","26.4","9.2","5.4","12.6","214.5"
"3","Amon-Ra St. Brown","WR","DET","1.3","11.9","13.5","14.8","BYE","9.7","17.2","6.7","11.6","12","27.7","6.2","7.3","5.3","23.3","13","12","7.7","11.8","201.2"
"4","Brian Thomas Jr.","WR","JAC","10.7","9.4","4.8","15.9","18.2","2.7","17.1","12","4.2","1.2","8.6","BYE","14.7","8.6","22.5","19.2","16.9","10.3","11.6","197"
"5","Terry McLaurin","WR","WAS","1.7","2.2","16","11.2","9.4","17.3","9.8","12.5","13.9","11.3","1","16.2","19.3","BYE","19.3","12","0.5","12.2","10.9","185.8"
"6","Drake London","WR","ATL","1.5","11.4","12.7","6.4","21.4","13.4","12.3","3.4","8.7","9.7","6.1","BYE","8.3","7","11.3","5.9","10.6","30.7","10.6","180.8"
"7","Mike Evans","WR","TB","18.1","4.2","1.7","15.4","18.2","3.4","8.5","-","-","-","BYE","6.8","17.8","6.9","27.9","6.9","21.7","8.9","11.9","166.4"
"8","Malik Nabers","WR","NYG","6.6","18.7","20.2","11.1","-","-","4.1","7.1","5.9","4.8","BYE","6.4","7.3","9.9","14.2","6.8","29.1","12.4","11","164.6"
"9","CeeDee Lamb","WR","DAL","8.6","15","4.7","16.6","6.4","9.1","BYE","26.6","8.2","2.4","10.6","6.8","3.9","15.4","17.6","10.5","-","-","10.8","162.4"
"10","Courtland Sutton","WR","DEN","3.8","2.6","6.8","12","3.2","11.3","0","9.1","16.3","13","7.8","21.7","10.2","BYE","9.2","5","11.5","15.8","9.4","159.3"
"11","Ladd McConkey","WR","LAC","9.9","2.6","4.4","12.7","BYE","4.3","4.6","23.1","6.4","5.2","12.3","8.3","11.7","-","11.8","8.7","21.4","11.5","9.9","158.9"
"12","Davante Adams","WR","LAR","5.9","17","4","-","-","BYE","3","5.4","15.1","3.1","7.2","-","12.6","16.9","33.8","12.8","4.7","14.8","11.2","156.3"
"13","Jameson Williams","WR","DET","19.4","9.4","0.2","14","BYE","14.7","-0.4","-","-","5.3","18.6","6.8","4.6","8","9.7","21","19.5","3.4","10.3","154.2"
"14","Jaxon Smith-Njigba","WR","SEA","1.9","11.7","3.9","5.1","9.1","5.3","2.3","6.9","30","BYE","11.8","13.7","7.9","14.6","8.3","16","3.2","1.3","9","153"
"15","Jerry Jeudy","WR","CLE","8.5","7.3","4.7","7.2","1.6","3.5","1.8","7.9","7.3","BYE","20.2","8.5","31.5","12.4","10.8","2","9.4","6.3","8.9","150.9"
"16","Garrett Wilson","WR","NYJ","6","6.2","9.3","2.1","16.1","16.7","8.1","11.3","21","4.1","1.8","BYE","4.1","11.4","11.6","5.4","10.6","5.1","8.9","150.9"
"17","A.J. Brown","WR","PHI","17.9","-","-","-","BYE","17.6","14.9","8.4","3.6","10.9","6.5","16.9","6.6","4.3","17","15.7","9.6","-","11.5","149.9"
"18","Jordan Addison","WR","MIN","3.5","-","-","19.9","3.6","BYE","6.6","2.2","11.1","2.9","12.1","22.2","5.4","31.3","6.3","9.5","12.9","0","10","149.5"
"19","Tee Higgins","WR","CIN","-","-","3.9","6","20.3","7.7","14.2","-","-","-","20.8","BYE","12.9","2.3","14.8","11.8","29.1","5.3","12.4","149.1"
"20","Nico Collins","WR","HOU","11.7","19.5","8.6","21.1","13.8","-","-","-","-","-","5.4","15.2","11.9","BYE","13.7","6","5.9","9.8","11.9","142.6"
"21","Jayden Reed","WR","GB","29.1","4.6","6.9","20.1","9.7","8.8","1","5.5","11.3","BYE","7.8","2.6","16.7","0","6.1","8.1","0.6","3.1","8.4","142"
"22","DJ Moore","WR","CHI","5","5.3","7.2","8.2","22.5","2","BYE","3.4","3.3","2.7","6.7","19.9","15.7","4.9","7","7","6.2","13.1","8.2","140.1"
"23","Tyreek Hill","WR","MIA","19","3.6","4","4.2","6.9","BYE","1.3","7.2","8","8.7","12.1","4.8","14.3","18.1","3.6","8.9","10.5","2","8.1","137.2"
"24","Zay Flowers","WR","BAL","5.1","15.1","2.3","1","12","13.4","3","11.5","24.7","3.4","9.9","6.2","7.1","BYE","5.3","10.3","3.1","2.1","8","135.5"
"25","Calvin Ridley","WR","TEN","5","20.7","0.9","1.5","BYE","0.9","4.2","12.6","7.3","20.4","5.8","9.3","4.5","5.9","6","13.8","9.1","7.3","8","135.2"
"26","Marvin Harrison Jr.","WR","ARI","0.4","25","12.4","10.5","3.6","0","2.1","17.1","1.4","11.4","BYE","4.7","12","4.9","3.2","3.9","9.6","12.3","7.9","134.5"
"27","Jauan Jennings","WR","SF","6.4","3.7","35.5","8.8","1.3","2.7","-","-","BYE","9.3","15.1","4","5.6","21","3.1","5.1","6.7","5.2","8.9","133.5"
"28","DeVonta Smith","WR","PHI","8.4","13.6","7.9","-","BYE","12.4","-0.2","14.5","14.7","1.4","2.9","-","-","9.7","17","5.1","24","-","10.1","131.4"
"29","Jakobi Meyers","WR","LV","6.4","2.9","14.2","4.9","7.2","-","-","11.2","10.5","BYE","4.8","12.1","9.7","6.7","5.9","4.1","12.1","18.3","8.7","131"
"30","Rashod Bateman","WR","BAL","5.3","4","8.8","2.3","11.8","7.1","18.1","2.8","2.5","11.4","3","10.3","0","BYE","20","7.4","1.2","13.6","7.6","129.6"
"31","Darnell Mooney","WR","ATL","1.5","14.8","6.6","5.6","22.5","3.8","4.6","14.6","14.8","9.6","2.7","BYE","2","14.2","0","8.2","3.7","-","8.1","129.2"
"32","Xavier Worthy","WR","KC","18.8","2.2","3","13.3","8.8","BYE","2.4","9.7","-1","1.1","12.8","5.1","5.4","4.6","13.6","13.5","14.9","0","7.5","128.2"
"33","Puka Nacua","WR","LAR","4.2","-","-","-","-","BYE","-","11.1","1.1","9.8","18.3","11.7","12.3","29.8","10.8","5.6","12.9","-","11.6","127.6"
"34","DK Metcalf","WR","PIT","2.9","18.9","16.4","8.4","3.5","4.8","15.9","-","BYE","-","7","5.9","6.6","4.9","2.8","11.7","4.2","11.3","8.3","125.2"
"35","Alec Pierce","WR","IND","18.5","11.6","4.4","0.9","19.4","0","1.5","1.1","4.1","14.1","7.4","3.9","7.6","BYE","0","-","18.2","11.7","7.8","124.4"
"36","Quentin Johnston","WR","LAC","3.8","17.1","10.4","1.3","BYE","2.2","-","-","18","8.4","10.8","0","1.2","10.8","10.5","1.8","4.8","18.6","8","119.7"
"37","Keenan Allen","WR","FA","2.9","-","-","1.9","3.3","16.1","-","3.9","3.6","4.4","4.1","14.6","19.3","3","14.2","20.1","2.5","1.5","7.7","115.4"
"38","Josh Downs","WR","IND","-","-","2.2","14.2","6.9","12.5","0.3","18.2","6","7.2","14.4","2.7","-","BYE","3.2","12.1","2.2","9.4","8","111.5"
"39","Cooper Kupp","WR","SEA","18","3.7","-","-","-","-","-","11.1","10.4","8","22.6","12","1.7","15.2","0","2.4","2.9","-","9","108"
"40","Khalil Shakir","WR","BUF","10.2","5.6","13.2","6.2","-","1.9","6.5","10.9","5","5.8","7","BYE","3","16.6","9.9","2.2","2.5","-","7.1","106.5"
