"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","George Kittle","TE","SF","4","13.6","-","10.5","12.4","17.8","9.2","18.8","BYE","11.7","-","14.2","0.7","15.1","6.1","10.6","11.2","2.7","10.6","158.6"
"2","Brock Bowers","TE","LV","5.8","9.8","4.1","3.1","15.7","7.1","9.3","5.8","10.5","BYE","18.3","3.8","20.2","5.2","3.5","9.9","7.6","11","8.9","150.7"
"3","Trey McBride","TE","ARI","3","12.7","2.5","-","5.3","9.6","5.1","12.4","9.7","7.1","BYE","13.3","9.6","7","8.7","2","18.3","12.5","8.7","138.8"
"4","Jonnu Smith","TE","PIT","0.7","5.3","1.8","0","6.1","-","15.6","2","4.6","4.5","22.1","14.7","11.3","10.4","10.8","6.2","8.6","9.6","7.9","134.3"
"5","Mark Andrews","TE","BAL","1.4","5.1","0","0","5.5","12.6","16.1","9.6","2.6","12.8","2.2","10.6","12.9","BYE","8.4","9.8","12.8","11.4","7.9","133.8"
"6","Sam LaPorta","TE","DET","4.5","1.3","3.6","5.3","BYE","11.2","2.5","10.8","2.8","12.6","-","1.9","12.6","5.4","11.1","10.3","12.4","6.3","7.2","114.6"
"7","Tucker Kraft","TE","GB","3.7","1.6","2.4","11.3","20.8","1.5","9.3","13.8","3.6","BYE","0","8.6","7.8","10.1","3.4","6.5","5.3","3.6","6.7","113.3"
"8","Zach Ertz","TE","WAS","2.8","6.2","3.8","4.2","1","6.8","10","7.7","0.5","3.1","12.7","9.8","9.5","BYE","2.5","1.2","19.2","10.4","6.6","111.4"
"9","Pat Freiermuth","TE","PIT","2.7","3.9","3.3","11.7","6.2","1.6","5.1","1.9","BYE","7.7","1.4","5.9","12.8","10.8","8.2","1.6","4","14.5","6.1","103.3"
"10","Travis Kelce","TE","KC","3.4","0.6","3","8.9","7","BYE","1.7","15","8","12.4","0.8","6.2","6.8","4.5","2.7","3","14.4","-","6.2","98.4"
"11","David Njoku","TE","CLE","4.4","-","-","-","1.4","3.1","13.6","12.1","2.9","BYE","10.1","2.9","17.2","10.2","-","6.6","-","-","7.7","84.5"
"12","Kyle Pitts","TE","ATL","8.6","2","5.9","0","8.8","7","6.5","21.1","1.1","5.5","0.9","BYE","0","1.4","2.8","0.7","10.4","1.5","5","84.2"
"13","Isaiah Likely","TE","BAL","17.1","2.6","0.4","2.6","13.3","2.7","1.7","4.7","0","-","5.5","0","9.8","BYE","1.7","8.9","6.9","3.8","5.1","81.7"
"14","Cade Otton","TE","TB","0.5","-0.4","2.7","5.2","4.4","7.5","10","20.1","13.7","3.5","BYE","3","2","7","2.4","-","-","-","5.8","81.6"
"15","Taysom Hill","TE","NO","3.6","1.9","-","14.4","-","-","-","4.2","12","5","34.5","BYE","4.7","-","-","-","-","-","10","80.3"
"16","Hunter Henry","TE","NE","1.8","10.9","0.9","1.2","3.2","10.1","9.2","4.5","5.6","1.4","6.3","4.4","7.5","BYE","2.5","9.9","0","-","5","79.4"
"17","Mike Gesicki","TE","CIN","1.8","9.1","4.7","-0.9","3.1","0","0.2","5.3","22","3","0","BYE","5.3","2.4","3.7","1.4","8.6","6.8","4.5","76.5"
"18","Cole Kmet","TE","CHI","0.4","2.7","15.7","3.4","5.7","19","BYE","3.4","0","1.3","4.2","6.4","2.6","0","1.4","6.9","0","0.3","4.3","73.4"
"19","Noah Gray","TE","KC","3.7","0","1.3","4","2.9","BYE","6.6","2.3","0","1.8","14.3","18.6","5.8","2.6","8.1","1","0.6","-0.3","4.3","73.3"
"20","Juwan Johnson","TE","NO","8.6","0","0","1.3","3.1","4.8","1.8","4.8","4.1","2.2","9","BYE","3.6","11","1.2","2.7","6.6","8","4.3","72.8"
"21","Foster Moreau","TE","NO","10.3","0","0.2","0","7.3","5.4","3.8","0","7.7","0","5","BYE","0.6","4","9.9","3.3","10.7","3.1","4.2","71.3"
"22","Tyler Conklin","TE","LAC","0.6","1","9.3","1.7","5.5","1","6.7","10.2","-0.3","0.8","0.7","-","3.2","3.3","-","5.9","13.7","7.6","4.4","70.9"
"23","Dalton Schultz","TE","HOU","1.6","2.1","1.1","3.4","3.4","2.7","2.8","5.2","2.1","6.6","3.3","2","12.1","BYE","1.3","10.5","2.1","2.9","3.8","65.2"
"24","Austin Hooper","TE","NE","3.1","0.5","1.9","7.3","0.9","-1.5","3.2","1.5","0.8","6.4","3.5","11.9","10.2","BYE","3.8","5.5","1.9","2.7","3.7","63.6"
